time,local_time,irradiation
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,1.959
2019-01-01 08:00,2019-01-01 09:00,12.686
2019-01-01 09:00,2019-01-01 10:00,16.955
2019-01-01 10:00,2019-01-01 11:00,27.309
2019-01-01 11:00,2019-01-01 12:00,19.300
2019-01-01 12:00,2019-01-01 13:00,16.799
2019-01-01 13:00,2019-01-01 14:00,20.990
2019-01-01 14:00,2019-01-01 15:00,17.122
2019-01-01 15:00,2019-01-01 16:00,0.933
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,6.021
2019-01-02 08:00,2019-01-02 09:00,76.744
2019-01-02 09:00,2019-01-02 10:00,169.425
2019-01-02 10:00,2019-01-02 11:00,230.900
2019-01-02 11:00,2019-01-02 12:00,250.087
2019-01-02 12:00,2019-01-02 13:00,231.600
2019-01-02 13:00,2019-01-02 14:00,169.312
2019-01-02 14:00,2019-01-02 15:00,71.219
2019-01-02 15:00,2019-01-02 16:00,2.541
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,3.766
2019-01-03 08:00,2019-01-03 09:00,38.544
2019-01-03 09:00,2019-01-03 10:00,86.787
2019-01-03 10:00,2019-01-03 11:00,115.875
2019-01-03 11:00,2019-01-03 12:00,109.400
2019-01-03 12:00,2019-01-03 13:00,87.562
2019-01-03 13:00,2019-01-03 14:00,66.297
2019-01-03 14:00,2019-01-03 15:00,27.688
2019-01-03 15:00,2019-01-03 16:00,1.134
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,4.777
2019-01-04 08:00,2019-01-04 09:00,29.042
2019-01-04 09:00,2019-01-04 10:00,44.484
2019-01-04 10:00,2019-01-04 11:00,80.750
2019-01-04 11:00,2019-01-04 12:00,80.831
2019-01-04 12:00,2019-01-04 13:00,44.756
2019-01-04 13:00,2019-01-04 14:00,31.923
2019-01-04 14:00,2019-01-04 15:00,17.326
2019-01-04 15:00,2019-01-04 16:00,0.666
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0.450
2019-01-05 08:00,2019-01-05 09:00,5.236
2019-01-05 09:00,2019-01-05 10:00,10.959
2019-01-05 10:00,2019-01-05 11:00,16.953
2019-01-05 11:00,2019-01-05 12:00,20.781
2019-01-05 12:00,2019-01-05 13:00,20.052
2019-01-05 13:00,2019-01-05 14:00,12.856
2019-01-05 14:00,2019-01-05 15:00,5.166
2019-01-05 15:00,2019-01-05 16:00,0.072
2019-01-05 16:00,2019-01-05 17:00,0
2019-01-05 17:00,2019-01-05 18:00,0
2019-01-05 18:00,2019-01-05 19:00,0
2019-01-05 19:00,2019-01-05 20:00,0
2019-01-05 20:00,2019-01-05 21:00,0
2019-01-05 21:00,2019-01-05 22:00,0
2019-01-05 22:00,2019-01-05 23:00,0
2019-01-05 23:00,2019-01-06 00:00,0
2019-01-06 00:00,2019-01-06 01:00,0
2019-01-06 01:00,2019-01-06 02:00,0
2019-01-06 02:00,2019-01-06 03:00,0
2019-01-06 03:00,2019-01-06 04:00,0
